Add to collection;Добавить в коллекцию
Add Items;Добавить вещь
An outfit for any occasion;Образ для любого случая
Choose one or more brands you like ;Выберите один или несколько брендов, которые вам нравятся
Choose the occasion;Выбрать случай для образа
Choose your favourite occasions ;Выберите ваш любимый случай для создания образа
Collections;Коллекции
Feed;Лента
Female;Женский
Item;Вещь
Items;Вещи
Loading...;Загрузка
Male;Мужской
New items for you;Новые вещи для вас
Next;Далее
Non-binary;Небинарный
Occasions;Cлучаи
Outfit;Образ
Outfits;Образы
Picking up the right pieces for your perfect outfit;Подбирайте нужные вещи для вашего образа
Profile;Профиль
Save;Сохранить
Select all;Выбрать все
Share;Поделиться
Shop now;Купить сейчас
Tell us your favourites;Расскажите нам о своих предпочтениях
The name of your collection;Название вашей коллекции
Wish list;Избранное